post_id,title,category,score,num_comments,author,collected_at
47701233,Claude mixes up who said what,AI,446,339,sixhobbits,2026-04-10 16:40:18
47710782,The Training Example Lie Bracket,AI,30,16,pb1729,2026-04-10 16:40:19
47708817,Maine is about to become the first state to ban major new data centers,AI,291,414,rmason,2026-04-10 16:40:19
47680023,Tailslayer: Library for reducing tail latency in RAM reads,AI,106,23,hasheddan,2026-04-10 16:40:19
47708411,Bitmap fonts make computers feel like computers again,AI,107,80,speckx,2026-04-10 16:40:19
47696035,John Deere to pay $99M in right-to-repair settlement,AI,387,127,CharlesW,2026-04-10 16:40:19
47693679,I've been waiting over a month for Anthropic to respond to my billing issue,AI,424,194,nickvec,2026-04-10 16:40:19
47704443,Study found that young adults have grown less hopeful and more angry about AI,AI,131,176,elsewhen,2026-04-10 16:40:20
47689174,MegaTrain: Full Precision Training of 100B+ Parameter LLMs on a Single GPU,AI,324,56,chrsw,2026-04-10 16:40:20
47685945,We moved Railway's frontend off Next.js. Builds went from 10+ mins to under 2,AI,213,213,bundie,2026-04-10 16:40:20
47710919,How the Trivy supply chain attack harvested credentials from secrets managers,AI,18,15,Rial_Labs,2026-04-10 16:40:20
47713732,First man convicted under Take It Down Act kept making AI nudes after arrest,AI,16,0,tzs,2026-04-10 16:40:20
47715291,Scientists invented a fake disease. AI told people it was real,AI,83,86,latexr,2026-04-10 16:40:20
47710835,"Show HN: Rust based eBook library for Python, with MIT license",programming,29,3,larry-the-agent,2026-04-10 16:40:24
47704285,Clean code in the age of coding agents,programming,57,85,yanis_t,2026-04-10 16:40:25
47718804,"Bluesky users are mastering the fine art of blaming everything on ""vibe coding""",programming,19,5,ulrischa,2026-04-10 16:40:25
47663147,Launch HN: Freestyle – Sandboxes for Coding Agents,programming,322,156,benswerd,2026-04-10 16:40:27
47675155,You can't cancel a JavaScript promise (except sometimes you can),programming,97,61,goodoldneon,2026-04-10 16:40:30
47683376,JSIR: A High-Level IR for JavaScript,programming,84,32,nnx,2026-04-10 16:40:30
47697895,Building a JavaScript runtime in one month,programming,16,7,franciscop,2026-04-10 16:40:32
47664912,The cult of vibe coding is dogfooding run amok,programming,615,508,drob518,2026-04-10 16:40:33
47689135,The Empty Middle of AI Coding,programming,7,2,comma_at,2026-04-10 16:40:38
47674056,Show HN: Bx – macOS native sandbox for AI and coding tools,programming,7,0,holtwick,2026-04-10 16:40:39
47656335,Does coding with LLMs mean more microservices?,programming,63,61,jer0me,2026-04-10 16:40:39
47708818,Native Instant Space Switching on macOS,science,593,288,PaulHoule,2026-04-10 16:40:42
47706141,Research-Driven Agents: When an agent reads before it codes,science,199,52,hopechong,2026-04-10 16:40:42
47712755,"Detox may erase 10 years of social media brain damage, researchers say",science,31,2,1vuio0pswjnm7,2026-04-10 16:40:45
47665207,SOM: A minimal Smalltalk for teaching of and research on Virtual Machines,science,56,0,tosh,2026-04-10 16:40:48
